"click_id","hs_id","otaCode"
46661185,690008271,"bkng"
46661266,690000444,"bkng"
46661284,690204218,"bkng"
46661494,690144736,"htls"
46661503,1000840250,"bkng"
46661542,690025533,"agda"
46661746,1000840250,"bkng"
46662016,690000444,"bkng"
46662055,690191101,"bkng"
46662220,690206463,"bkng"
46662298,690175936,"last"
46662307,1001918855,"bkng"
46662325,690113979,"ctrp"
46662364,690227507,"bkng"
46662409,690206463,"last"
46662481,690206463,"last"
46662571,690191101,"bkng"
46662649,690021935,"bkng"
46662679,690010108,"bkng"
46662682,690476274,"bkng"
46663111,1002540141,"bkng"
46663129,690358772,"bkng"
46663141,690206463,"last"
46663192,690105666,"bkng"
46663402,690619205,"amom"
46663426,690189244,"bkng"
46663435,690166827,"htls"
46663558,690358248,"bkng"
46663660,690022624,"bkng"
46663789,690225631,"otel"
46663804,690333720,"amom"
46663882,690228586,"bkng"
46664107,690206463,"bkng"
46664122,690195493,"htde"
46664455,690195493,"htde"
46664494,690122769,"htde"
46664524,690167108,"htls"
46664569,690195707,"amom"
46664632,690206463,"bkng"
46664746,690206463,"last"
46664827,690619205,"amom"
46664875,690196915,"htls"
46664884,1003141766,"hawy"
46665007,690177327,"bkng"
46665097,690206463,"bkng"
46665142,690206463,"bkng"
46665157,690191696,"bkng"
46665160,690191696,"bkng"
46665223,690195707,"amom"
46665226,690028473,"ctrp"
46665313,690195493,"htde"
46665385,690206463,"bkng"
46665403,690196918,"bkng"
46665478,1000461526,"bkng"
46665568,690122769,"bkng"
46665625,690219011,"bkng"
46665688,690170933,"amom"
46665757,690008271,"bkng"
46665853,690196479,"hawy"
46665880,690175226,"last"
46666348,690238515,"htls"
46666360,690197680,"bkng"
46666480,690181376,"htls"
46666516,1000591651,"bkng"
46666522,690201863,"bkng"
46666582,690190335,"amom"
46666585,690197787,"bkng"
46666615,690201657,"htls"
46666723,690025533,"agda"
46666834,690224164,"nhtl"
46667008,1000840250,"bkng"
46667020,690002045,"ctrp"
46667026,690189357,"bkng"
46667281,690206463,"bkng"
46667404,690201441,"amom"
46667485,690358302,"bkng"
46667584,690225631,"last"
46667590,690187265,"otel"
46667644,1000493931,"bkng"
46667740,690187347,"bkng"
46667761,690000357,"htls"
46667788,690046958,"bkng"
46667959,690358772,"htde"
46668028,690002045,"bkng"
46668052,690189244,"bkng"
46668127,690386753,"bkng"
46668406,690181375,"otel"
46668442,690225631,"htde"
46668841,690199863,"otel"
46668907,690189440,"amom"
46668985,690113248,"htls"
46669120,690192878,"bkng"
46669174,690206463,"bkng"
46669195,690122769,"bkng"
46669228,690192878,"bkng"
46669294,690197965,"bkng"
46669381,690206463,"last"
46669588,690206463,"last"
46669597,690118543,"htls"
46669615,690191490,"otel"
46669639,690206463,"last"
46669735,690122769,"bkng"
46669750,690043712,"bkng"
46669762,1000840250,"bkng"
46669783,690229808,"bkng"
46669831,690182304,"amom"
46669864,690122769,"htls"
46669867,690122769,"htde"
46670167,690225631,"last"
46670182,690187265,"ctrp"
46670206,690224861,"expd"
46670263,690225631,"last"
46670302,690159609,"bkng"
46670446,690198561,"bkng"
46670611,690182304,"amom"
46670620,1002540141,"bkng"
46670638,690000414,"ctrp"
46670659,690181779,"bkng"
46670698,690105666,"bkng"
46670848,690983758,"bkng"
46671031,690122769,"htde"
46671049,690182304,"amom"
46671103,690192878,"agda"
46671112,690122769,"htde"
46671139,690206463,"init"
46671271,690105666,"bkng"
46671469,690122769,"htde"
46671475,690223531,"htls"
46671730,690141130,"bkng"
46671754,690124539,"htls"
46671814,690243367,"last"
46671877,690029038,"bkng"
46671931,690157318,"hrsd"
46671937,690182304,"amom"
46671943,690358772,"bkng"
46671985,690224861,"bkng"
46672048,690231172,"bkng"
46672072,690201441,"amom"
46672087,1000591651,"bkng"
46672144,690141130,"bkng"
46672204,690206463,"init"
46672276,690433544,"bkng"
46672300,690181502,"amom"
46672321,690086749,"otel"
46672516,690062224,"htls"
46672561,690195493,"htde"
46672588,690086749,"otel"
46672651,690236013,"bkng"
46672750,690000512,"agda"
46672771,690000524,"last"
46672822,690522545,"htls"
46672846,690118543,"bkng"
46672912,690201441,"amom"
46672954,690000524,"last"
46672972,690191916,"expd"
46673050,690190335,"amom"
46673059,690206463,"bkng"
46673134,690191916,"expd"
46673329,690566298,"bkng"
46673473,690201863,"amom"
46673524,690196805,"bkng"
46673665,690232328,"last"
46673932,690008271,"htls"
46673944,690122769,"bkng"
